ID;Date;Age;Gender;Parents_diplomation;Traditions;Women_protection;Never_lied;Too_much_effort_to_promote_gender_equality;Men_must_provide_income;News_per_week;{rand(1,4)};Femicide;Romanticization;Attention_victim_gender;Attention_victim_age;Resp_1;Sur la base des éléments présentés dans l’article, dans quelle mesure êtes-vous d’accord avec les affirmations suivantes ? [Les circonstances peuvent atténuer la responsabilité de l'auteur.  ];Resp_2;Sur la base des éléments présentés dans l’article, dans quelle mesure êtes-vous d’accord avec les affirmations suivantes ? [Cet évènement résulte d'une perte de contrôle.];Resp_3;Sur la base des éléments présentés dans l’article, dans quelle mesure êtes-vous d’accord avec les affirmations suivantes ? [L’auteur est moralement responsable du décès de la victime.];Resp;Donation_psych;Donation;Condamnation_from_judiciary_system;Number_women_killed_last_year;Number_men_killed_last_year;Resp_others_1;Nous nous intéressons également à la manière dont cette situation est perçue par d’autres personnes.  Selon vous, comment la plupart des Belges seraient-ils d'accord avec les affirmations suivantes ?   [Les circonstances peuvent atténuer la responsabilité de l'auteur.  ];Resp_others_2;Nous nous intéressons également à la manière dont cette situation est perçue par d’autres personnes.  Selon vous, comment la plupart des Belges seraient-ils d'accord avec les affirmations suivantes ?   [Cet évènement résulte d'une perte de contrôle.];Resp_others_3;Nous nous intéressons également à la manière dont cette situation est perçue par d’autres personnes.  Selon vous, comment la plupart des Belges seraient-ils d'accord avec les affirmations suivantes ?   [L’auteur est moralement responsable du décès de la victime..];Resp_others;Gap;Biased_survey?
27;2026-03-24 15:23:26;20-21;W;Enseignement supérieur de type long (Bachelier de transition, Master);D'accord;D'accord;Pas du tout d'accord;Pas du tout d'accord;Pas du tout d'accord;Moins d'une demi-heure;4;0;1;homme;42;1;Légèrement d'accord;5;Légèrement pas d'accord;5;Légèrement d'accord;3,66666666666667;40;60;Plutôt Improbable;Plus de 70;Entre 10 et 20;3;Légèrement d'accord;3;Légèrement d'accord;3;Légèrement pas d'accord;3;0,66666666666667;Non
30;2026-03-24 15:26:26;20-21;W;Enseignement supérieur de type court (Bachelier de Haute École, Brevet);D'accord;Neutre;Pas du tout d'accord;Pas d'accord;Neutre;Moins d'une demi-heure;2;1;1;femme;42;4;Plutôt pas d'accord;7;Pas du tout d'accord;7;Tout à fait d'accord;6;30;70;Plutôt probable;Entre 50 et 60;Entre 10 et 20;3;Légèrement d'accord;2;Plutôt d'accord;7;Tout à fait d'accord;4;2;Non
31;2026-03-24 15:24:38;22-23;W;Enseignement supérieur de type long (Bachelier de transition, Master);Pas d'accord;Neutre;Pas du tout d'accord;D'accord;Neutre;Pas de temps consacré à l’actualité;2;1;1;homme;42;4;Plutôt pas d'accord;4;Neutre;;;4;N.A;;Ni improbable ni probable;Je ne sais pas/je préfère ne pas répondre;Je ne sais pas/je préfère ne pas répondre;3;Légèrement d'accord;;;;;3;1;Non
32;2026-03-27 15:18:15;18-19;W;Enseignement supérieur de type long (Bachelier de transition, Master);D'accord;D'accord;Pas du tout d'accord;D'accord;D'accord;30 minutes à 1 heure;4;0;1;homme;42;1;Légèrement d'accord;4;Neutre;7;Tout à fait d'accord;4;20;80;Plutôt probable;Entre 50 et 60;Entre 20 et 40;3;Légèrement d'accord;2;Plutôt d'accord;4;Neutre;3;1;Non
33;2026-03-27 15:18:39;22-23;W;Enseignement secondaire supérieur (CESS ou équivalent);Pas d'accord;Pas du tout d'accord;Pas du tout d'accord;Pas du tout d'accord;Neutre;Moins d'une demi-heure;1;1;0;homme;42;5;Pas du tout d'accord;3;Légèrement d'accord;7;Tout à fait d'accord;5;40;60;Très improbable;Plus de 70;Entre 10 et 20;2;Plutôt d'accord;2;Plutôt d'accord;7;Tout à fait d'accord;3,66666666666667;1,33333333333333;Non
34;2026-03-27 15:17:56;20-21;W;Enseignement supérieur de type long (Bachelier de transition, Master);Neutre;Pas du tout d'accord;Pas du tout d'accord;Pas du tout d'accord;Pas du tout d'accord;Moins d'une demi-heure;1;1;0;homme;42;4;Plutôt pas d'accord;4;Neutre;6;Plutôt d'accord;4,66666666666667;20;80;Plutôt probable;Plus de 70;Entre 20 et 40;6;Plutôt pas d'accord;6;Plutôt pas d'accord;6;Plutôt d'accord;6;-1,33333333333333;Non
35;2026-03-27 15:18:46;20-21;W;Enseignement secondaire supérieur (CESS ou équivalent);Tout à fait d'accord;Tout à fait d'accord;Pas du tout d'accord;Pas du tout d'accord;Tout à fait d'accord;30 minutes à 1 heure;4;0;1;homme;42;4;Légèrement pas d'accord;2;Plutôt d'accord;7;Tout à fait d'accord;4,33333333333333;50;50;Plutôt Improbable;Plus de 70;Entre 10 et 20;5;Légèrement pas d'accord;2;Plutôt d'accord;7;Tout à fait d'accord;4,66666666666667;-0,33333333333334;Non
36;2026-03-27 15:17:50;18-19;W;Enseignement supérieur de type long (Bachelier de transition, Master);Neutre;Neutre;Pas du tout d'accord;Neutre;Pas du tout d'accord;Moins d'une demi-heure;3;0;0;femme;42;4;Plutôt pas d'accord;4;Neutre;4;Neutre;4;50;50;;Entre 40 et 50;Entre 10 et 20;;;;;;;N.A;;Non
37;2026-03-27 15:18:57;18-19;W;Enseignement supérieur de type court (Bachelier de Haute École, Brevet);D'accord;Neutre;Pas du tout d'accord;Pas d'accord;Neutre;30 minutes à 1 heure;2;1;1;femme;42;1;Légèrement d'accord;7;Pas du tout d'accord;6;Plutôt d'accord;4,66666666666667;40;60;Plutôt Improbable;Entre 40 et 50;Entre 10 et 20;2;Plutôt d'accord;5;Légèrement pas d'accord;6;Plutôt d'accord;4,33333333333333;0,33333333333334;Oui
38;2026-03-27 15:19:39;18-19;W;Enseignement secondaire supérieur (CESS ou équivalent);Tout à fait d'accord;D'accord;Pas du tout d'accord;Pas du tout d'accord;Neutre;Je ne sais pas;1;1;0;femme;42;5;Pas du tout d'accord;;;7;Tout à fait d'accord;6;45;55;Plutôt Improbable;Entre 30 et 40;Moins de 10;;;;;;;N.A;;Oui
39;2026-03-27 15:21:42;20-21;W;Enseignement supérieur de type court (Bachelier de Haute École, Brevet);D'accord;Pas d'accord;Pas du tout d'accord;Pas d'accord;;30 minutes à 1 heure;4;0;1;homme;42;4;Plutôt pas d'accord;4;Neutre;6;Plutôt d'accord;4,66666666666667;N.A;;Très probable;Entre 50 et 60;Entre 10 et 20;4;Neutre;4;Neutre;6;Plutôt d'accord;4,66666666666667;0,00000000000000;Oui
40;2026-03-27 15:23:02;32 et plus;W;Enseignement supérieur de type long (Bachelier de transition, Master);Neutre;D'accord;Tout à fait d'accord;Pas du tout d'accord;D'accord;plus de 2 heures;1;1;0;homme;42;5;Pas du tout d'accord;6;Plutôt pas d'accord;7;Tout à fait d'accord;6;N.A;;Ni improbable ni probable;Entre 20 et 30;Entre 10 et 20;1;Tout à fait d'accord;4;Neutre;7;Tout à fait d'accord;4;2;Non
41;2026-03-27 15:50:39;20-21;W;Enseignement supérieur de type long (Bachelier de transition, Master);D'accord;Pas d'accord;Pas du tout d'accord;Pas du tout d'accord;Pas du tout d'accord;1 à 2 heures;2;1;1;femme;42;5;Pas du tout d'accord;7;Pas du tout d'accord;7;Tout à fait d'accord;6,33333333333333;20;80;Ni improbable ni probable;Plus de 70;Moins de 10;5;Légèrement pas d'accord;3;Légèrement d'accord;6;Plutôt d'accord;4,66666666666667;1,66666666666666;Oui
42;2026-03-27 15:51:34;18-19;W;Enseignement supérieur de type court (Bachelier de Haute École, Brevet);Pas d'accord;Neutre;Pas du tout d'accord;Neutre;Pas d'accord;Moins d'une demi-heure;2;1;1;homme;42;5;Pas du tout d'accord;4;Neutre;5;Légèrement d'accord;4,66666666666667;40;60;Ni improbable ni probable;Plus de 70;Entre 20 et 40;2;Plutôt d'accord;2;Plutôt d'accord;5;Légèrement d'accord;3;1,66666666666667;Non
43;2026-03-27 15:51:51;20-21;O;Enseignement secondaire supérieur (CESS ou équivalent);D'accord;Pas d'accord;Pas du tout d'accord;Tout à fait d'accord;Pas du tout d'accord;30 minutes à 1 heure;1;1;0;homme;42;5;Pas du tout d'accord;3;Légèrement d'accord;7;Tout à fait d'accord;5;50;50;Plutôt Improbable;Entre 50 et 60;Entre 10 et 20;2;Plutôt d'accord;1;Tout à fait d'accord;4;Neutre;2,33333333333333;2,66666666666667;Non
44;2026-03-27 15:53:39;20-21;W;Enseignement supérieur de type court (Bachelier de Haute École, Brevet);D'accord;Tout à fait d'accord;Pas du tout d'accord;Neutre;Tout à fait d'accord;30 minutes à 1 heure;3;0;0;femme;42;5;Pas du tout d'accord;6;Plutôt pas d'accord;6;Plutôt d'accord;5,66666666666667;50;50;Ni improbable ni probable;Je ne sais pas/je préfère ne pas répondre;Je ne sais pas/je préfère ne pas répondre;;;;;;;N.A;;Oui
7;2026-03-24 10:53:44;20-21;M;Enseignement secondaire inférieur;D'accord;Tout à fait d'accord;Pas du tout d'accord;Tout à fait d'accord;Pas du tout d'accord;1 à 2 heures;1;1;0;homme;20;4;Plutôt pas d'accord;1;Tout à fait d'accord;7;Tout à fait d'accord;4;N.A;;Très probable;Je ne sais pas/je préfère ne pas répondre;Je ne sais pas/je préfère ne pas répondre;5;Légèrement pas d'accord;1;Tout à fait d'accord;7;Tout à fait d'accord;4,33333333333333;-0,33333333333333;Non
8;2026-03-24 10:57:12;20-21;W;Enseignement secondaire supérieur (CESS ou équivalent);Tout à fait d'accord;Pas d'accord;Pas d'accord;Pas du tout d'accord;Pas d'accord;30 minutes à 1 heure;4;0;1;femme;42;1;Légèrement d'accord;7;Pas du tout d'accord;7;Tout à fait d'accord;5;50;50;Très improbable;Entre 20 et 30;Moins de 10;2;Plutôt d'accord;3;Légèrement d'accord;6;Plutôt d'accord;3,66666666666667;1,33333333333333;Non
9;2026-03-24 10:54:26;20-21;W;Enseignement secondaire supérieur (CESS ou équivalent);Neutre;Neutre;Pas du tout d'accord;Pas d'accord;Pas d'accord;Moins d'une demi-heure;4;0;1;homme;42;4;Plutôt pas d'accord;3;Légèrement d'accord;6;Plutôt d'accord;4,33333333333333;50;50;Plutôt probable;Entre 40 et 50;Moins de 10;3;Légèrement d'accord;4;Neutre;4;Neutre;3,66666666666667;0,66666666666666;Oui
10;2026-03-24 10:55:06;20-21;W;Enseignement supérieur de type long (Bachelier de transition, Master);D'accord;Neutre;Pas du tout d'accord;Pas du tout d'accord;Pas d'accord;Moins d'une demi-heure;3;0;0;homme;42;5;Pas du tout d'accord;7;Pas du tout d'accord;7;Tout à fait d'accord;6,33333333333333;N.A;;Très probable;Entre 50 et 60;Moins de 10;3;Légèrement d'accord;5;Légèrement pas d'accord;7;Tout à fait d'accord;5;1,33333333333333;Non
11;2026-03-24 10:58:00;18-19;W;Enseignement supérieur de type court (Bachelier de Haute École, Brevet);D'accord;Neutre;Pas d'accord;Pas d'accord;Pas du tout d'accord;30 minutes à 1 heure;4;0;1;homme;42;4;Légèrement pas d'accord;4;Neutre;6;Plutôt d'accord;4,66666666666667;50;50;;Entre 60 et 70;Entre 50 et 70;3;Légèrement d'accord;5;Légèrement pas d'accord;4;Neutre;4;0,66666666666667;Oui
12;2026-03-24 10:55:16;20-21;W;Aucun diplôme ou enseignement primaire;Tout à fait d'accord;Pas du tout d'accord;Pas du tout d'accord;D'accord;Pas d'accord;Moins d'une demi-heure;2;1;1;femme;42;5;Pas du tout d'accord;7;Pas du tout d'accord;7;Tout à fait d'accord;6,33333333333333;60;40;Ni improbable ni probable;Entre 20 et 30;Moins de 10;2;Plutôt d'accord;2;Plutôt d'accord;3;Légèrement pas d'accord;2,33333333333333;4,00000000000000;Non
13;2026-03-24 11:02:35;20-21;W;Enseignement supérieur de type long (Bachelier de transition, Master);D'accord;Pas d'accord;Pas d'accord;Pas du tout d'accord;Pas du tout d'accord;Moins d'une demi-heure;2;1;1;homme;42;5;Pas du tout d'accord;6;Plutôt pas d'accord;7;Tout à fait d'accord;6;35;65;Plutôt probable;Entre 60 et 70;Entre 10 et 20;6;Plutôt pas d'accord;3;Légèrement d'accord;6;Plutôt d'accord;5;1;Non
14;2026-03-24 10:56:44;20-21;W;Enseignement secondaire supérieur (CESS ou équivalent);D'accord;Pas d'accord;Pas d'accord;Pas du tout d'accord;Pas du tout d'accord;30 minutes à 1 heure;4;0;1;femme;42;4;Plutôt pas d'accord;7;Pas du tout d'accord;7;Tout à fait d'accord;6;40;60;Plutôt probable;Entre 50 et 60;Moins de 10;4;Neutre;3;Légèrement d'accord;4;Neutre;3,66666666666667;2,33333333333333;Non
15;2026-03-24 10:57:14;22-23;W;Enseignement supérieur de type long (Bachelier de transition, Master);Tout à fait d'accord;Pas du tout d'accord;Pas du tout d'accord;Pas du tout d'accord;Pas du tout d'accord;Moins d'une demi-heure;1;1;0;femme;42;4;Plutôt pas d'accord;7;Pas du tout d'accord;7;Tout à fait d'accord;6;10;90;Plutôt Improbable;Entre 40 et 50;Entre 10 et 20;2;Plutôt d'accord;2;Plutôt d'accord;5;Légèrement d'accord;3;3;Non
16;2026-03-24 10:56:45;32 et plus;W;Enseignement supérieur de type long (Bachelier de transition, Master);Tout à fait d'accord;Pas d'accord;Pas d'accord;Pas du tout d'accord;Pas du tout d'accord;30 minutes à 1 heure;4;0;1;homme;42;2;Neutre;4;Neutre;7;Tout à fait d'accord;4,33333333333333;25;75;Très probable;Plus de 70;Moins de 10;6;Plutôt pas d'accord;2;Plutôt d'accord;5;Légèrement d'accord;4,33333333333333;0,00000000000000;Oui
